coingecko_id,name,symbol,market_cap_rank,asset_platform,token_type,homepage,categories,supply_circulating,supply_total,supply_max
bitcoin,Bitcoin,BTC,1,,native,http://www.bitcoin.org,"Smart Contract Platform, Layer 1 (L1), FTX Holdings, Proof of Work (PoW), Bitcoin Ecosystem, GMCI 30 Index, GMCI Index, Coinbase 50 Index",19907093.0,19907093.0,21000000.0
ethereum,Ethereum,ETH,2,,native,https://www.ethereum.org/,"Smart Contract Platform, Layer 1 (L1), Ethereum Ecosystem, FTX Holdings, Multicoin Capital Portfolio, Proof of Stake (PoS), Alameda Research Portfolio, Andreessen Horowitz (a16z) Portfolio, GMCI Layer 1 Index, GMCI 30 Index, Delphi Ventures Portfolio, Galaxy Digital Portfolio, GMCI Index, World Liberty Financial Portfolio, Coinbase 50 Index",120707912.8118162,120707912.8118162,
ripple,XRP,XRP,3,,native,https://ripple.com/currency/,"FTX Holdings, Pantera Capital Portfolio, Andreessen Horowitz (a16z) Portfolio, XRP Ledger Ecosystem, GMCI 30 Index, Blockchain Capital Portfolio, GMCI Index, Made in USA, Coinbase 50 Index",59418500720.0,99985837887.0,100000000000.0
tether,Tether,USDT,4,ethereum,ethereum,https://tether.to/,"Stablecoins, USD Stablecoin, Solana Ecosystem, Avalanche Ecosystem, Near Protocol Ecosystem, Celo Ecosystem, Ethereum Ecosystem, Kaia Ecosystem, Aptos Ecosystem, FTX Holdings, TON Ecosystem, Tron Ecosystem, Kava Ecosystem, Fiat-backed Stablecoin, World Liberty Financial Portfolio",166393375511.2693,166393375511.2693,
binancecoin,BNB,BNB,5,,native,https://www.binance.com,"Smart Contract Platform, Exchange-based Tokens, BNB Chain Ecosystem, Centralized Exchange (CEX) Token, Layer 1 (L1), Ethereum Ecosystem, Alleged SEC Securities, FTX Holdings, Proof of Stake (PoS), GMCI Layer 1 Index, GMCI 30 Index, GMCI Index",139287707.09,139287705.5,200000000.0
solana,Solana,SOL,6,,native,https://solana.com/,"Smart Contract Platform, Solana Ecosystem, Layer 1 (L1), Alleged SEC Securities, FTX Holdings, Multicoin Capital Portfolio, Proof of Stake (PoS), Alameda Research Portfolio, Andreessen Horowitz (a16z) Portfolio, GMCI Layer 1 Index, GMCI 30 Index, Delphi Ventures Portfolio, GMCI Index, Polychain Capital Portfolio, Made in USA, Coinbase 50 Index",539920402.7138921,607617431.9406524,
usd-coin,USDC,USDC,7,ethereum,ethereum,https://www.circle.com/en/usdc,"Stablecoins, USD Stablecoin, Solana Ecosystem, Avalanche Ecosystem, Polygon Ecosystem, Near Protocol Ecosystem, Arbitrum Ecosystem, Celo Ecosystem, Ethereum Ecosystem, Algorand Ecosystem, Optimism Ecosystem, Aptos Ecosystem, ZkSync Ecosystem, Sui Ecosystem, Base Ecosystem, Tron Ecosystem, Hedera Ecosystem, Stellar Ecosystem, XRP Ledger Ecosystem, Sonic Ecosystem, Fiat-backed Stablecoin, Sei Network Ecosystem, World Chain Ecosystem, World Liberty Financial Portfolio, Made in USA, Unichain Ecosystem",68168819207.29266,68169018986.29244,
staked-ether,Lido Staked Ether,STETH,8,ethereum,ethereum,https://www.lido.fi,"Decentralized Finance (DeFi), Liquid Staking Tokens, Ethereum Ecosystem, Liquid Staked ETH, Liquid Staking",8835668.952832457,8835696.015413899,
dogecoin,Dogecoin,DOGE,9,,native,http://dogecoin.com/,"Smart Contract Platform, Meme, Dog-Themed, Elon Musk-Inspired, Proof of Work (PoW), GMCI Meme Index, GMCI 30 Index, GMCI Index, Coinbase 50 Index, 4chan-Themed",150530106383.7052,150540366383.7052,
tron,TRON,TRX,10,,native,https://tron.network,"Smart Contract Platform, Layer 1 (L1), Alleged SEC Securities, FTX Holdings, DWF Labs Portfolio, Tron Ecosystem, Proof of Stake (PoS), GMCI Layer 1 Index, GMCI 30 Index, GMCI Index, World Liberty Financial Portfolio, Made in China",94682532523.7442,94682532523.7442,
